pair1,pair2,1h,5m,4h,1d,15m
GBPUSD,CADJPY,16.2,74.4,64.1,69.6,38.1
GBPUSD,AUDJPY,53.1,74.5,70.6,54.4,55.7
GBPUSD,NZDUSD,75.3,60.5,56.6,56.4,60
GBPUSD,GBPUSD,100,100,100,100,100
GBPUSD,GBPJPY,82.6,86.2,90.5,94.4,60.2
GBPUSD,AUDNZD,9,19.4,59.9,26.7,-44.6
GBPUSD,AUDCAD,65.3,8.7,-8.1,18.2,36.9
GBPUSD,AUDCHF,-17,75.6,29.4,30.3,76.7
GBPUSD,GBPCHF,24.7,88.1,47.7,87.5,74.6
GBPUSD,GBPCAD,80.7,-12.2,3.5,85.4,54.8
GBPUSD,USDJPY,-44.6,43.4,15.4,30.2,-23.9
GBPUSD,GBPNZD,49.7,1,46.4,72.5,-23.3
GBPUSD,EURCHF,43.9,46.8,81.1,10.2,41.9
GBPUSD,NZDCHF,-19.7,69.6,-13.1,17.8,68.8
GBPUSD,CADCHF,-45.1,72.1,45.4,37.7,61
GBPUSD,NZDCAD,48.1,-14.6,-33.4,-6.2,42.7
GBPUSD,EURCAD,51.3,-65.5,3.1,-35.6,-12.7
GBPUSD,EURNZD,33,-51.6,38.2,-14.8,-72
GBPUSD,GBPAUD,49.6,-18.3,12.1,43.1,-4.3
GBPUSD,EURGBP,-10.7,-85.9,-2.2,-89.5,-36.2
GBPUSD,EURAUD,30.1,-74,10.8,-33.5,-64.1
GBPUSD,USDCAD,-63.3,-72.9,-76.2,-77.2,-78.5
GBPUSD,USDCHF,-75.5,16.3,-77.1,-60.1,-26.6
GBPJPY,EURUSD,46.4,49,88.6,67.8,-13.9
GBPJPY,CHFJPY,64.2,79.5,85.3,77.6,55.8
GBPJPY,EURJPY,66.7,85.9,89.3,80.3,38.9
GBPJPY,NZDJPY,69.6,72.6,65.8,71.6,32.9
GBPJPY,AUDUSD,62.1,71.4,72.1,61.2,9.8
GBPJPY,CADJPY,58.5,85.6,87.4,84.6,86.8
GBPJPY,AUDJPY,75,88.2,82.5,69.4,56.2
GBPJPY,NZDUSD,55.1,32.5,40.1,44.6,1.5
GBPJPY,GBPUSD,82.6,86.2,90.5,94.4,60.2
GBPJPY,GBPJPY,100,100,100,100,100
GBPJPY,AUDNZD,17.4,58,81.6,49.1,13.7
GBPJPY,AUDCAD,35.7,17.5,-35,27.3,-12.7
GBPJPY,AUDCHF,12.3,83.9,15.5,43.6,22.1
GBPJPY,GBPCHF,50.6,94.1,24,87.1,64.1
GBPJPY,GBPCAD,58.8,-12.3,-28.9,77.6,49.1
GBPJPY,USDJPY,13.7,82.7,56,60,63.1
GBPJPY,GBPNZD,50.2,25.8,53.8,75.6,28.2
GBPJPY,EURCHF,42.4,77.1,89,27.8,-13
GBPJPY,NZDCHF,3.9,52.8,-37.1,12.6,6.4
GBPJPY,CADCHF,-8.9,76.4,63.7,51.6,50.8
GBPJPY,NZDCAD,19.5,-45.2,-61.3,-20.8,-13.8
GBPJPY,EURCAD,17.2,-56.7,-14.3,-36.4,-42.1
GBPJPY,EURNZD,8.4,-20.1,61.3,0.8,-16.6
GBPJPY,GBPAUD,45.6,-24.6,5.4,30.2,34.3
GBPJPY,EURGBP,-35.8,-71.1,23.9,-82.8,-58.6
GBPJPY,EURAUD,1.3,-69.7,28.7,-43.9,-41.1
GBPJPY,USDCAD,-62.3,-64,-89.7,-76.3,-35.1
GBPJPY,USDCHF,-41.9,52.2,-83.7,-49.2,11.6
AUDNZD,EURUSD,1.9,16.8,79.2,47.2,-88.1
AUDNZD,CHFJPY,20.8,60.5,86.8,59.4,1.4
AUDNZD,EURJPY,10.1,71.5,87.6,76.5,-48.3
AUDNZD,NZDJPY,-14.6,8.7,44.2,55.7,-78.4
